Question,Response,Article Link
How do I learn more about the product?,"You are at the right place. All of AttendanceBot functionality is documented on this support portal.



To get a quick list of commands, type ""help"" to AttendanceBot as a direct message (DM).





At a high level, AttendanceBot has two key functionalities.

Leave tracking - This lets you apply for time off, let you inform your team when you working from home or from a remote office. All of these features are documented in the Vacation Tracking section of all the respective platforms i.e Slack, MS Teams, G Chat 
Time tracking - This lets you clock-in and clock-out and track how much time you are sending at work. All of these features are documented in the Time Tracking section all the respective platforms i.e Slack, MS Teams, G Chat


You can reach our support team for any questions or suggestions.

",https://attendancebot.freshdesk.com/a/solutions/articles/17000118265
How do I setup lunch hours for my team?,"1. To setup lunch hours in AttendanceBot, head to your Settings Panel by typing settings to AttendanceBot.

2. Once you are in, please head to the Time Tracking-->General Time Settings page and scroll down to configure the following :

Lunch Duration in Minute.

Break duration in minute

Include lunch in work hours

Include breaks in work hours",https://attendancebot.freshdesk.com/a/solutions/articles/17000093813
How do we reach support?,"You can reach support one of 3 ways:

The best way to reach the support team is by saying ""dialm"" (our favorite) to AttendanceBot as a direct message (DM). This would connect you to someone on our team for a real time chat.
Send an email to support@attendancebot.freshdesk.com or hi@harmonizehq.com.
Since you are already here, you can simply click on ""New support ticket"" 
",https://attendancebot.freshdesk.com/a/solutions/articles/17000118264
How does adding or removing users affect my billing?,"AttendanceBot gives you complete flexibility over adding or removing users from your existing plan at any time. Depending on whether you are on a monthly plan or an annual plan, the impact on your billing might differ.

Monthly Subscription


Adding New Users: Whenever you add new users to your team, you are charged for those users in your bill for the subsequent month. For example, if you have 20 active users in your team and add 10 additional users in your team at any time during the month, you will be charged for a total of 30 users in the bill for the subsequent month.

Removing Existing Users: Whenever you remove users from your team, your bill is adjusted by taking into account the updated number of active users in your team in the subsequent month. For example, if you are paying $100 for 20 users in your team and you deactivate 10 users during the month, you will be charged $50 for a total of 10 users in the bill for the subsequent month.

We keep a track of the users in your team and bill you only for the active users each month. Your monthly bill is based on the number of active users at the start of the month.

Annual Subscription

In case of an annual subscription, you are given credits for the amount you paid initially for the subscription. These credits gets adjusted automatically in case of adding or removing users from your team.

Adding New Users: When you add new users, the credits allocated to you are utilized against the new total users in your team and your subscription expires prior to the completion of your 1 year contract. In this case, we charge you before your next invoice due date for the active users in your team. Let's consider two cases as examples:

Case 1: 
1. You subscribe to AttendanceBot Annual plan on January 1st 2020 for 100 users.
2. You add another 100 users the same day which makes the total active users in your team to 200.
3. This change in the total active users would expire your annual contract in 6 months on July 1st 2020 as opposed to January 1st 2021.

Case 2:
1. You subscribe to AttendanceBot on January 1st 2020 for 100 users.
2. On July 1st 2020, you add another 100 users in your team.
3. This change in the total active users, after 6 months from the subscription date, would cut down the remaining months in your contract to half and your contract will expire in 9 months from the date of subscription.

Removing Existing Users: When you remove existing users, the credits allocated to you are utilised against the new total users in your team and your subscription gets extended automatically and you can continue to use AttendanceBot post the completion of your 1 year contract from your initial payment date. Let's take the following case as an example:

1. You subscribe to AttendanceBot on January 1st 2020 for 100 users.
2. After 6 months, that is on July 1st 2020, you remove 50 users from your team and the total active users in your team stands at 50.
3. The remaining term of your contract will get doubled from 6 months to 12 months that is your contract will expire on July 1st 2021 as opposed to January 1st 2021.

We keep a track of the active users in your team and automatically adjust your credits each month whenever a new user is added or an existing user is removed from your team.

You can check all these details about your subscription by visiting the Subscription page of your Settings Panel. To head over to the Subscription page, please type settings as a direct message to the bot and follow the link to your Settings Panel.


Once you are in your Settings Panel, click on the Settings-->Subscription option to open your Subscription page.


",https://attendancebot.freshdesk.com/a/solutions/articles/17000104046
How does timesheet approvals work?,"Managers can now seamlessly review and approve timesheets (weekly, biweekly, or monthly) of their reportees. You can find the timesheet approval page in the Time Tracking section of the settings dashboard. 







To review timesheets for individual employees, click on the ""Expand"" button present on the employee tile and select the period for which you would like to review the punches. Expanding each period you'll find daily summaries, and choosing to ""Review"" each day will show individual employee punches, similar to the Edit Timesheet screen. These tiers allow you to quickly zoom in and out of timesheet ranges to review and investigate.







To approve timesheets just click on the ""Approve timesheet"" button for that specific pay period, which locks the timesheet from further editing. You'll have the option to bulk approve across employees or across multiple timesheets for a given employee by selecting ""Approve all selected"" 



Note: the ""timesheet tenure"" toggle near the top differentiates timesheets with separate approval cycles. If you have only one approval cycle (e.g. weekly) then you should only see the one option and can safely ignore. If you have multiple - e.g. employees across regions with weekly, biweekly, and monthly overtime calculation rules - then you'll need to toggle between these periods to view and approved relevant timesheets by cycle.





Finally, you can reference historical approved timesheets in the approval log, which is the second tab of the approval page. The approval log is identical in format, but is purely for view access.



Once the approval process is complete, csv reporting with identify approval data as well. 







Note: You can turn on automatic manager alerts for unapproved timesheets, but currently this setting must be enabled by our internal team. Feel free to request by emailing sarah@harmonizehq.com, chatting support, or contacting our team on any channel.

",https://attendancebot.freshdesk.com/a/solutions/articles/17000134394
How to change admin of the account?,"If you wish to change the primary admin of the account, please get in-touch with your support team by raising a ticket with us (Type ""Dialm as a message to the app) or reach out to us through our live chat support. 





If you want to add secondary admins to the account, just head to the settings dashboard by typing ""Settings"" as a direct message to the app and click on the URL prompted. 

Once you open the dashboard, please scroll on the basic settings page --> other settings --> Administrator 

You can search for the person and select the name from the dropdown menu. 



",https://attendancebot.freshdesk.com/a/solutions/articles/17000131567
How to configure overtime and time off in lieu (TOIL) rules?,"AttendanceBot lets you define regular hours so you can track and pay time worked beyond ordinary hour thresholds. Each set of overtime rules can be configured separately by office or by individual.



For most teams, office-by-office configuration is best and allows you to set rules based on regional requirements (like for California employees). Office configuration happens directly in the overtime dashboard.

At the top left you'll choose which office you're configuring from the office dropdown - if no offices have been created, you'll have to set rules universally.
You may select between any or all of daily, daily double, consecutive daily, or weekly overtime thresholds. These define both how and when overtime is calculated.
For time off in lieu (TOIL) you may choose between daily or weekly calculation - daily double and consecutive daily will not apply.
TOIL and overtime cannot both be calculated simultaneously, so as soon as you activate TOIL: 1) a TOIL leave type will be created in leave type configuration with balances automatically accrued based on overtime hours, and 2) existing overtime rules will be turned off.
If your operations are based in the US, you may also select between state-by-state overtime presets from the top right present menu. 




If you have employees with individualized contracts, so your organization requires many different overtime thresholds OR different overtime periods (specifically biweekly and monthly), AttendanceBot offers a separate method for creating employee-specific rules: employee profiles. To set up:

Visit the custom field section of your personnel dashboard and browse the relevant fields for ""work hours"". You will want to ""activate"" any work hour periods you need, chosen between ""Daily Work Hours,"" ""Weekly Work Hours,"" ""Biweekly Work Hours,"" and ""Monthly Work Hours.""
Every employee profile will how have a field for each activated work hour period. While each employee may utilize their own unique work hour settings, you will have to choose only one period per employee. No one employee may have multiple periods active at the same time - AttendanceBot can only calculate individual overtime on a single daily, weekly, biweeekly, or monthly basis.
For each employee, you may now set threshold hours by going into their profile and inputting a numerical value into the appropriate work hour field. Alternatively, you may use the import/export page to quickly set thresholds in bulk.


Note: this method works for both overtime and TOIL, and will override any office-level settings you've configured. However, TOIL must be turned on from the main overtime dashboard for this method to generate TOIL instead of overtime. 







Whether universal, regional, or individual, configured overtime shows up in many places across AttendanceBot.

The timesheet dashboard and timesheet editor will show overtime totals by day and by period
All relevant spreadsheet reports will show overtime, including: the timesheet report, timesheet summary, payroll report, and payroll summary.
If you've inputted employee wages, then overtime wages will automatically be calculated in payroll reporting at 1.5x.


Here is a quick video tutorial for the same:








For related reading, consider our article about overtime alerts.

",https://attendancebot.freshdesk.com/a/solutions/articles/17000106516
How to schedule reports in AttendanceBot?,"To schedule reports in AttendanceBot, you need to follow the steps:



1. Use the 'Settings' command as a direct message in the app & follow the link to the dashboard and navigate to the 'Reports' tab.



2. Click on ""Schedule New Report""



3. Select the report type, frequency of sending it out etc and click on schedule report.



4. You'll get four options to set the frequency for scheduling the reports- First day of every month, Last day of every month, Fixed date of every month, & Day of the week.

First day of every month: 1st of every month for data of the previous month.
Last day of every month: 30th of every month for data of the current month.
Fixed date of every month: Specific date you select for every month.
Day of Week: Specific day of the week, under this you can choose every week, every 1st & 3rd week of the month, or every 2nd & 4th week of the month.






Give this a try & if you face any challenges you can open a ticket for us on the helpdesk so that we can help you.

",https://attendancebot.freshdesk.com/a/solutions/articles/17000116147
I don't use Slack or Microsoft Teams can I still use AttendanceBot?,"Yes you can! You can use AttendanceBot directly in your browser. Follow the Get Started button on our homepage and sign up using your email. Currently AttendanceBot on web is in beta and you can only use the Vacation Management features of AttendanceBot in your browser. 

",https://attendancebot.freshdesk.com/a/solutions/articles/17000115575
"I'm getting an error message ""You are viewing the archives of a deactivated account"" while accessing AttendanceBot in Slack. What should I do?","If you're getting the message ""You are viewing the archives of a deactivated account"" or are unable to interact with AttendanceBot, it's likely that the person who installed AttendanceBot has removed the workspace, perhaps because they are no longer with the company.


To address this, please head to www.attendancebot.com and click on the GET STARTED-->TRY FOR SLACK to install AttendanceBot in your workspace again. Once you successfully install the bot, you will become the new primary admin of AttendanceBot in your workspace.

If you are unable to see AttendanceBot in Slack, please click on the Apps icon, on the left side of the screen, and search for AttendanceBot in the App Directory. You can then click on it and it will get added under the Recent Apps list.


Note : Your data will be absolutely safe with us in such an event. Once AttendanceBot is reinstalled in the workspace, everyone can start interacting with it as usual. 

",https://attendancebot.freshdesk.com/a/solutions/articles/17000098428
Inactivate users on AttendanceBot,"1. To inactivate the non-relevant users in AttendanceBot, head to your Settings Panel by punching in the command settings to the AttendanceBot.


2. Once you’re in the Settings Panel, please navigate to People-->Personnel page and you’ll see the list of users in your team. You can then inactivate the concerned user by switching the toggle to ""Inactive"" present against his/her name, in the Status column.




3. To view the inactive members in your team, switch the toggle OFF for ""Show active Personnel only""


4. You can switch the toggle back to ""Active"" to reactivate the respective user.



",https://attendancebot.freshdesk.com/a/solutions/articles/17000093807
Onboarding,"In 5 simple steps, you can start a super simple, yet really efficient onboarding experience for your employees. The best part is, it works entirely over Slack. 



1. You can create onboarding tasks lists like 'Onboarding for designers' or 'General onboarding list for all employees that contain a list of tasks to be executed by them.



2. Each task is a text with specific instructions as illustrated in the screenshot below.









3. Every task list can be assigned to a set of new employees. 








4. When an employee is assigned a new task list, they get a message in Slack informing them about it. They can then move through the list by marking the items as done and pull up the remaining tasks by sending 'my tasks'.




5. Admins and HRs can click on the arrow next to the Onboarding task to monitor the progress of each employee and view the completion details of each task in a task list. 









That's it, It is really this simple to assign and track tasks for a smooth new employee onboarding. 

Please give this a try and let me know if you have any questions.

",https://attendancebot.freshdesk.com/a/solutions/articles/17000105283
Reassign Shifts(Shift Swap),"To Reassign Shifts in AttendanceBot, please refer to the following steps :

1. Type shifts as a DM to AttendanceBot to view the shifts assigned to you. Each shift will have a Reassign button right below it.




2. Click on the Reassign button and Select Colleague whom you want to trade this shift.



3. After you have selected your Colleague, your shift swap request will go out to your manager for approval.


4. Your manager can then either Approve/Deny the shift reassign request or Assign it to someone else.



5. Once your manager Approves the request, your colleague will receive a notification, on Slack, that a new shift has been assigned to him/her.



6. You will also receive a notification, on Slack, that your shift has been deleted.



",https://attendancebot.freshdesk.com/a/solutions/articles/17000094157
Shift Attributes,"To configure Shift Attributes in AttendanceBot, please head to your Settings Panel by typing settings to the bot. Once you are in, navigate to People-->Personnel--> Custom fields and then follow these steps :

1. Create a new Shift Attribute of your choice by clicking on ""Add"" option. An attribute could be anything like an office, a role, a department, etc. Provide the Field name, and proceed with selecting type as ""Multi Dropdown"" and enter details like dropdown options, seen by etc. and hit ""Save""



2. Once this is done, you will be notified that your attribute is created.









2. Now head to Shift Management-->Shift Attributes to view the attributes. To view the instances of an attribute, click on the Expand button. You can also delete any instance by clicking on the delete icon against a particular instance.




3. To configure the shifts for the users based on the attribute instances you created earlier, please make sure to assign these instances to the users by heading to People-->Personnel.



CREATING OPEN SHIFTS (For help article on open shifts, please refer to this link)



a) Head to ""Open Shifts"" column and hit ""Create New"".



b) This will open another dialogue box where you can select the :

Shift Name
Start & End time
Days
Shift Attributes


c) Enter the details and hit ""Save""





CREATING NORMAL SHIFTS (For help article on creating shifts, please refer to this link)



a) Head to Create & View Shifts and select ""Normal Shift"" from the drop down



b)This will open another dialogue box where you can select the :

Employee
Date
START TIME and END TIME 
Instance(Attribute value)


c) After entering the details hit ""Create"". You can then see the shift created for the user for the selected instance(Teams) in this case.

",https://attendancebot.freshdesk.com/a/solutions/articles/17000094159
Shift Management(Create Shifts for your team),"To create shifts for your team members in AttendanceBot, head to your Settings Panel by sending in the command settings to the bot and follow the link. Once you're in please navigate to Time Tracking-->Shift Management--> Create & View shifts page and follow these steps to create a new shift for a particular member of your team :

1. Click on a date against a particular user for whom you wish to create a shift.

2. A new dialogue box will open where you can set the shift START TIME and END TIME. You can also setup SHIFT REPEAT for the shift to repeat on particular day(s) for the next week or month.




3. Once the shift is created in AttendanceBot, the user will be notified on Slack that a new shift has been assigned to him.



4. You can see the Shifts as a Monthly, Weekly Or Daily view, by selecting the appropriate value from the View dropdown.







Refer to this tutorial video for better understanding:






Note : Once the shifts are created in AttendanceBot, you can also copy the shift to another user in your team

",https://attendancebot.freshdesk.com/a/solutions/articles/17000092410
Time/Task tracking,"Time Tracking 

""in"" - this'll lets you to punch in @ current time stamp

""out"" - this'll punch you out @ current time stamp



Projects

Once the projects and clients are setup (from AttendanceBot dashboard), admins can assign the project to specific people or everyone. Whenever these users punch in, they will have to pick a project/client from the drop-down that would be shown and hit ""confirm"" (slack) OR ""Ok"" (MS Team) to register their punches.





Insert/Update/Delete a punch in or out The managers can head to AttendanceBot dashboard-->Time Tracking--> Edit Timesheet for the specific user. You can refer to point (8) for under this help article link.



Alternatively you can type in any of these commands and follow the prompt: 


""add punches @User""

""edit punches @User""

""delete punches @User""

Slack:



MS Team:







Check current status of your employees

You can either type in the command ""punch card"" OR access the ""Punch Board"" tab on the AttendanceBot dashboard to view the employees & their status





Slack:

MS Teams:





AttendanceBot Dashboard:





Communicate when you are out for lunch or on a break

""lunch""

""brb 10 min""

""break 15 minutes""



View Daily data

""timesheet""- this'll show your current day data

""weekly timesheet""- this will show you the weekly data of your timesheet

""timesheet @User"" - managers can check timesheet data of their direct reportees, where @User is reportees slack username



Timesheet report --> Downloadable as a CSV

""timesheet report"" - creates a timesheet report for current day 

""team timesheet report"" - this'll give a report that shows every punch in and out for every employee. Managers can run this report for their team and admins can run this for the entire company

""timesheet report from 05-01 to 05-30"" - this will generate timesheet report from 05-01 to 05-30

""team timesheet report from 05-01 to 05-30"" - this will generate team's timesheet report from 05-01 to 05-30



Payroll report --> Downloadable as a CSV

""payroll report from 05-01 to 05-30"" - this'll give a report that shows only the day's total time for every person on the team. Most used for doing payroll



To understand how to access any and all kinds of report, you can also type in the command ""Report"" into the AttendanceBot. Please refer to this help link for more info.



Overtime

We do support overtime as well. Connect with us to let us know overtime needs and we will get it setup for your team.



Channel notifications and other Settings

The admin for the team can head over to the settings dashboard by typing ""settings"" and configure the channel notifications from the ""Notification"" section.
Head to the ""General Time Setting"" section on the dashboard, the admin can configure punch in/out reminders, default lunch and break durations etc.
If you want to enable specific shifts for employees, head over to the ""Shift Management"" page on the settings dashboard and click on the person for whom you want to setup a custom shift. Once set, the employee is reminded to punch in/out for their shift at the time of their shift.




help article

help article

help",https://attendancebot.freshdesk.com/a/solutions/articles/17000115834
Update Employees Data using Import Team Data,"AttendanceBot allows administrators to update employee profile information in bulk using the People>> Import Team Data section of the dashboard. This saves time and improves accuracy when first configuring your team.





Since ""Import Team Data"" serves a dual import/export purpose, you can download to export and view personnel data, then after editing/repopulating employees details on the spreadsheet you can upload file to update AttendanceBot in bulk. 



When first setting up your team, the most critical field to populate is manager email. Additional popular fields to complete are joining date, date of birth, department, and office, though infinite custom fields are possible once created from the personnel >> custom field menu.



Important note - Do not add any rows or columns to the excel file downloaded from the dashboard as you are unable to create new fields using export/import. For this you can use the custom fields menu mentioned above.



Let us know if you found this useful, feel free to write to us at sarah@harmonizehq.com in case you need more help with this topic.

",https://attendancebot.freshdesk.com/a/solutions/articles/17000124709
