Question,Link,Platform,Long Answer
How to change the date format?,https://attendancebot.freshdesk.com/a/solutions/articles/17000118252,Slack,"Only the admins of the team can set the default date format. To do this, type `settings`, head to settings panel and update your default date format.



If your team don't have common date format (or have employees working in different geographies with different date formats), then employees can set up their personal date format by typing `settings`





"
How do I define my team's work week?,https://attendancebot.freshdesk.com/a/solutions/articles/17000052711,Slack,"By default we assign all teams to have Monday to Friday as their default work week. In case you want to update, just type `settings` and head to dashboard to change the work-week.





"
How do I uninstall AttendanceBot from Slack?,https://attendancebot.freshdesk.com/a/solutions/articles/17000121227,Slack,"To uninstall AttendanceBot from your Slack account, please follow the steps below :




1. Select the AttendanceBot app on Slack and click on the “About"" tab





2. Select the ""Configuration"" tab and you will be re-directed to Slack app directory page.

3. Scroll down to Remove Application section and click on the Remove App button to remove it from your workspace.


"
How can I apply leave in Slack?,https://attendancebot.freshdesk.com/a/solutions/articles/17000131679,Slack,"You can request leave in AttendanceBot in just 3 simple steps:



1) Type ""Apply"" as a direct message to the app and click on the resulting ""Apply"" button. 



2) Select the leave type, duration, and date - leave type will display current balances. Managers will have the additional option to select which employee they're applying for. 

Add a comment as necessary and hit ""Submit"" 







3) If the request requires approval, it will be sent to your manager and you will be notified by AttendanceBot when your leave is approved. If no approval is required, AttendanceBot will let you know the leave is auto-approved.



While there are additional quick-apply options like ""sick today,"" apply is the most robust option.



Note: If you wish to edit the leave, you need to delete the existing leave and re-apply it. Here's how you can do that - https://attendancebot.freshdesk.com/a/solutions/articles/17000131566"
How can I request for an hourly or half day leave?,https://attendancebot.freshdesk.com/a/solutions/articles/17000049824,Slack,"You can apply for hourly or First/second half day leaves in AttendanceBot. 



1) Please type ""Apply"" as a DM to AttendanceBot and click on Apply button. 







2) Select the leave type, duration as few hours, pick the date and select the time slot for which you wish to apply leave and hit confirm. If you wish to apply for first half, please pick ""First half"" as the leave duration and likewise ""Second half"" for the second half of the day. 





AttendanceBot will show hourly leave in the ""summary"" command and the leave report



The leave type you are planning to apply should have the ""hourly leave"" option enabled by the admins of the account and only can employee apply for it. 



Note: If you wish to edit the approved leave, you need to delete the existing leave and re-apply it. Here's how you can do that - https://attendancebot.freshdesk.com/a/solutions/articles/17000131566

"
How can manager/admin apply leave on behalf of employee?,https://attendancebot.freshdesk.com/a/solutions/articles/17000029132,Slack,"1. Managers can apply for time off on behalf of their reporting employees by typing in the command ""Apply leave @Username"" and follow the prompt. This feature works for all types of leaves - vacation, sick and wfh.





2. Pick the leave type, duration, date from the dropdown menu and hit Submit






3. Since a manager is applying directly on behalf of the reportee, there is no other approval needed and the time off gets recorded once the manager confirms it. The employee also gets notified about their time off.






Note: 

If you want to delete your employee's approved leave request, you can follow this article

"
How do I edit my approved leave?,https://attendancebot.freshdesk.com/a/solutions/articles/17000131566,Slack,"You can't edit but have to delete the leave and then request a fresh leave. 



To delete the leave:

1) Please type ""delete"" as a direct message to the app and you will a list of all the leaves applied. 

2) Select the leave you wish to delete and click on ""delete"" button. 





3) You can then apply for a new leave by typing ""Apply"" to AttendanceBot and selecting the relevant details mentioned in this article"
How to download my team's vacation data or reports?,https://attendancebot.freshdesk.com/a/solutions/articles/17000063984,Slack,"1. Managers can download vacation reports by simply typing in the command 'report' into the AttendanceBot and following the prompt. Select the report type as Leave Report/Leave Summary Report/Leave Balance Report as per your requirement & enter details like duration, employees and hit ""Confirm"".





2. They can also pass an optional date range like 'leave report from 15th March to 15th April""





3. People with admin roles can download org wide report by typing 'team report'. Similar to 'report', they can also pass an optional date range. In case you have set up departments for your org, when you type 'team report' you will get an option to download reports for specific departments. You can choose the department you want or choose All to download org wide data. 









Note:

To generate payroll report, you can follow this article"
How do I delete my leave requests?,https://attendancebot.freshdesk.com/a/solutions/articles/17000121203,Slack,"To delete your upcoming leave requests, just type delete to the bot and all your upcoming leaves will be displayed. Each leave will contain a Delete option right below it.





You can then press the Delete button for the particular leave which you want to delete and the bot will ask you to confirm the action.

Once you confirm this(by pressing the Delete button), that leave will be deleted and you will be notified of the same.



Once deleted, the manager is notified about the upcoming leave request being deleted.





Note: 

If you want to delete your past approve leave request, you need to ask your manager and ask them to follow this article

"
How do I delete a leave applied by my employee?,https://attendancebot.freshdesk.com/a/solutions/articles/17000093812,Slack,"1. To delete a leave applied by a member of your team, please type the command ""delete @username"" to the AttendanceBot where ""@username"" refers to the Slack username of the concerned team member.



2. You will see the list of approved leaves for that user, both past and upcoming, with a Delete button right below each leave.









3. Click on the Delete button, for the leave you wish to delete and AttendanceBot will prompt you to specify a reason for deleting that particular leave request.




4. Once you have mentioned the reason for deleting the leave, hit enter and the concerned user will receive a notification for the same on Slack.







Note:

To Delete your own leave, you can follow this article

"
How do I check my leave balance in Slack?,https://attendancebot.freshdesk.com/a/solutions/articles/17000094186,Slack,"1. To check the number of leaves available with you, just type balance as a direct message to the app. 



The leaves for which the accruals have not been set, will be displayed at the end under ""Leave types with unlimited balance""





2. As a manager, you will have access to the leave balances of any member in your team.

Just type balance @username to the app and you can check leave balance of your reportee.

"
How do I integrate my calendar in Slack?,https://attendancebot.freshdesk.com/a/solutions/articles/17000017361,Slack,"AttendanceBot easily integrates with your Google or Outlook calendar. You'll have the option of subscribing a public calendar to view your team's leave on a shared calendar, or integrating with a personal calendar to automatically set OOO and block unavailable time based on requested leave.



To integrate, simply message ""cal"" as a DM to AttendanceBot and follow the prompts.





For personal calendar integration, which allows you to automatically set OOO and block time in Outlook or Gcal, select ""Enable"" for the appropriate personal calendar and follow the link provided. This will walk you through an automatic sync process with your calendar provider.



For public calendar integration, which subscribes a chosen calendar to the AttendanceBot calendar, select ""get link"" and copy the calendar link displayed. Then follow the appropriate steps for your calendar type:



Apple Calendar

Open Apple Calendar and press ⌘-Option-S or select “New Calendar Subscription” from the “File” menu
Paste the URL and click “Subscribe”
In the following dialog, select “Every Hour” from the “Auto-refresh” dropdown in order to keep the calendar current

Google Calendar
Go to your Google Calendar
Click the down arrow next to “Other calendars” and select “Add by URL”
Paste the URL and click “Add calendar”

Office 365/Outlook 365
Sign in to Office365
Click on the “Other Calendars” menu, and choose “Open Calendar”
Enter the URL into “Internet Calendar” and click “Open”

Outlook.com
Go to outlook.com calendar and log in
Click “import” at the top of the window
Paste the URL into “Calendar URL” and enter a name into “Calendar Name”
Click “Subscribe”


Outlook 2016/2013

Switch to the calendar module.
In the Manage Calendars group on the toolbar, click Open Calendar.
Select the From Internet option.
Provide the path of your Internet calendar file.
Click OK.




Note: All calendars use local time of the user as determined by Slack. If you are a distributed team with colleagues in different time zones, you will see their time off converted to your local timezone."
How can I apply for a recurring leave?,https://attendancebot.freshdesk.com/a/solutions/articles/17000049831,Slack,"AttendanceBot has made it simple by just typing one command 



User can type in commands like ""Vacation on every Thursday""





Or ""Vacation on every 25th of the month""





We would show recurring vacations in the summary and in the report as we show other lea. 

Summary will have only 2 past as well as 2 upcoming vacations irrespective of whether it's a recurring vacation or any other vacation
Recurring vacations of future dates will show up at the end of the report. 


This leave will be set for 8 weeks only. At the end of the period, you will receive a message from the app if you wish to extend the leave or discontinue. 





If you wish to delete these recurring leaves, you can refer to this article. "
What are the different kinds of leaves?,https://attendancebot.freshdesk.com/a/solutions/articles/17000118259,Slack,"AttendanceBot comes with 5 different default vacation types. 

Vacation
Sick
Traveling
Work from home
Working remotely


You can create new leaves or edit leaves depending on your company policy by clicking on this link and selecting ""Create new""









Also, here's an article explaining how your employees can apply for leave. 



Note:

If you want to assign leave quotas and accrual logic for your employees, please refer to the vacation quota set up.

"
How do I enable leave privacy to hide leave types?,https://attendancebot.freshdesk.com/a/solutions/articles/17000105285,Slack,"Leaves taken by your team are shown on team channel notifications, summary, and calendars. You have the flexibility to select which leave types to show and which to hide from public interfaces. For example, you might choose to show who is on ""vacation"" but hide who is ""sick"".



To hide a leave type, head to Vacation Management -> Leaves -> Leave Types and Quotas and select the leave type to hide by clicking on the ""Edit"" icon. 
Disable ""show leave type"" for the leave type.




Once disabled, the leave type will be hidden from all public interfaces (channel notifications, summary, and calendars). For example, if a team member now takes a ""sick leave"", channel notifications or the calendar will say, ""@user is on leave"" instead of ""@user is sick"". 
Note: Managers can still see the leave type will approved their employee's leave 

"
How to setup leave quotas based on my company policy?,https://attendancebot.freshdesk.com/a/solutions/articles/17000051255,Slack,"You can refer to this video tutorial for understanding how to apply quotas: 




Below is the step wise process to set up accruals:



a) To setup leave accruals for your team in AttendanceBot, head to your Settings Panel by typing settings to the bot. Once you are in, navigate to VACATION MANAGEMENT-->Leaves-->Leave Types and Quotas page. By default, we have 8 different kinds of leave types, each with an unlimited balance and annual accrual interval. This means everyone can avail unlimited number of leaves for each leave type.



You can disable any leave type by clicking on the toggle button for status. To delete any leave type, you can click on the edit pencil and delete from within the configuration window.





b) You can also create any number of custom leave types. To do so, click ""Create New"", title the leave and assign synonyms associated with the leaves from the keywords section. Leave synonyms are the words which are associated with that particular leave and can be used while applying for a leave in AttendanceBot.

In the case of parental leave, you might include synonyms like maternity, paternal, or child care. In the case of ""Working from office"", keywords might include wfo, ito, hq, or even ""driving in"". Just mention all permutations of the word which you want to enable employees to use while requesting.



This is a good place to do some localisation in terms of language as well. If you are creating vacation types for non English speaking employees, you can add some synonyms in their local language. Set the basic rules for this new leave type.








c) If you need to set specific leave accruals for any leave type once again navigate to the edit window and select the second tab ""accrual settings.""



There are various settings that needs to be configured, with limited accruals requiring more configuration than unlimited.



Unlimited Leaves allotted 



Limited Leaves allotted





Meanings for each configuration are below: 



1. Allow hourly time offs : Users will be allowed to apply for leave by the hour; quick commands require start and end times like ""wfo 12pm to 3pm Thursday""



2. Enable half days : Users will be allowed to take half day leaves; quick commands require ""first half"" or ""second half"" with each request like ""sick second half today.:



3. Approval required : The leave will require approval from each employee's manager before confirmation in the system. If false, the leave type will be confirmed on request and send an FYI to managers.



4. Unlimited quotas : All users with access to this leave will have an unlimited balance. The following accrual settings apply only when quotas are ""limited"":



4.1 Accrual period : Interval during which the leave accruals happen. Annually mean all leave is accrued at the start of each year, whereas each subdivision divides the annual accrual into requisite number of periods and users only accrue that sub-total on the interval specified.



4.2 Annual leave count in days : Total number of leaves accrued annually. AttendanceBot will automatically calculate hourly & payroll accrual based on this annual number.



4.3 Cap on annual leave count : The maximum balance which users can accrue for this leave at any one time. One a user reaches this cap, all additional accrual will lapse and accrual will cease until after balance has dropped below this maximum.



4.4 Rollover in days : Number of days leave which rollover from one year to the next. If set at 0, all unused leaves are lost at the end of each year.



4.5 Allow negative balance : Allows users to request leave after they have exhausted their leave balance.



4.6 Max negative allowed in days : Grants the users specified days of leave they can use after they have exhausted their leave balance. "
How do I add holidays for my team?,https://attendancebot.freshdesk.com/a/solutions/articles/17000118248,Slack,"Simple, type ""settings"", head to the link shared with you.







Head to Vacation Management-->Calendar-->Holidays to create holidays for your team. 







Note:

If you have people working in different countries or offices, you can also create office and country specific holidays.

Just pick the office while creating the holiday and it will be mapped to employees with that office only. 

For more details please read more about multi office holidays. 











Once created, your team can lookup upcoming holidays by typing 'holidays' and plan their vacations accordingly.

"
How to setup multiple offices and their holidays,https://attendancebot.freshdesk.com/a/solutions/articles/17000051706,Slack,"To set up your multiple offices type 'settings' and head to your settings panel. 



You can click on Offices in the sidebar navigation to create and manage your offices. You can use the ""Create new"" option to create a new office.



Once created, you will be able to assign people offices by going to your People option in the sidebar and editing the offices for people inline under the tab Personnel.







You can now create holidays for each office. 

"
How do I upload medical certificates for my Sick days?,https://attendancebot.freshdesk.com/a/solutions/articles/17000063988,Slack,"1. To upload a certificate for your vacations, just type 'upload' command into the AttendanceBot. 

2. You'll be presented with a list of your recent vacations and you can tap on the Upload button against the vacation for which you want to upload a certificate. 





3. After you select upload for the required leave, you will receive a prompt from AttendanceBot which looks something like this 



4. Upload the file into the Atten"
Can I automate time-off requests using Slack's workflow builder?,https://attendancebot.freshdesk.com/a/solutions/articles/17000110882,Slack,"1. With the workflow builder, you can automate routine tasks on Slack such as welcome new teammates, run daily standups, make team-wide announcements, and so on. Not only do you save time but also stay focused with workflow automation. 



2. For example, you might want to send time-off requests to your payroll software or simply record the time-offs on a Google sheet, which will be processed later. Admins can do so with AttendanceBot steps.



Here are the steps to follow:

You can either open Slack’s workflow builder (under Tools in the workspace menu) or launch the workflow builder by clicking on the Shotcut lightning icon from any channel.
You can either create a workflow from scratch or choose from the templates.
Connect the apps that you'd like to automate to Slack.
Next, the workflow builder will guide you through the process of selecting and creating a workflow that performs the intended task.
Publish the workflow.
Access the workflow from the Shotcut icon or the workflow option under Tools.


The following video is a step by step example of how to create a workflow builder.




"
How can I apply for a leave for next year?,https://attendancebot.freshdesk.com/a/solutions/articles/17000118253,Slack,"Please type ""Apply"" command as a DM to AttendanceBot and follow the prompt by entering details like leave type, leave duration, dates and hit ""Confirm""





If you have any question, you can reach out to us by typing ""Dialm"" as a message to AttendanceBot and open a ticket with us. 

"
How can a manager check overlapping leaves when approving a new leave request?,https://attendancebot.freshdesk.com/a/solutions/articles/17000118254,Slack,"1. When a manager gets a leave request, it is possible that there might be no overlapping leaves. In this case, the manager will simply get a message ""No one is on leave during these days"" and the manager can simply Approve or Deny the new leave request.







2. In case there is an overlapping you will an additional button. Click on the ""Show Overlapping dates"" to get a list.







You can set the scope of overlapping leaves to 4 levels

Company - This is the default scope and it shows leaves from anyone else across the company. We recommend this setting for companies <100 people.
Office - Show overlapping leaves from everyone in the same office as the person applying for the leave
Department - Show overlapping leaves from everyone in the same department as the person applying for the leave
Team - Show overlapping leaves from everyone in the team of the person applying for leave (the entire extended tree of people) as well as the peers of the person applying for leave, where peers are defined as other people who directly report into the manager approving the leaves.


To change the scope, please reach out to the support and we would be happy to assist.

"
Hybrid Work Setup,https://attendancebot.freshdesk.com/a/solutions/articles/17000124707,Slack,"AttendanceBot allows you to configure workplace settings for a hybrid work model in which you may have desired days-in-office policies, office capacity constraints, or custom communications for your distributed team.



For each policy constraint, you'll be able to set rules universally, per office, or per department:





Office capacity limits are very straightforward, and prevent employees from booking WFO once the stated maximum limit has been reach (per planned WFO). Employees trying to schedule WFO past capacity will be notified that the office is full and directed to their manager for further instruction.





Alternatively, setting expected days-in-office allows administrators to create weekly minimum number of days employees should book in the office. Once set, this policy enables two optional reminders to help employees build good habits: one reminder sends direct notifications to employees when booked days-in-office fall short, the other reminder sends overview notifications to managers outlining booking status for their direct reports. Both reminders use configured workweek to automatically remind two days before EOW and the two days after start-of-week if scheduled WFO does not meet minimum goal.









Once configured, reminders will look like the following:



Employee View: 



Manager's View:





These settings help hundreds of teams optimize their hybrid workplace, but if you still face challenges configuring to your unique team, feel free to share feedback or ask for help at sarah@harmonizehq.com."
Seat Availability and WFO Booking,https://attendancebot.freshdesk.com/a/solutions/articles/17000124503,Slack,"Employees can use the 'Seats' command as a direct message in AttendanceBot to check the number of seats available in their office.



Seat capacity is set at the office level and availability is blocked when users apply for ""working from office"" leave in AttendanceBot. As long as your office has not hit capacity, you can use the apply command to book a WFO seat for yourself.













Admins have the additional options of viewing the seat calendar from the settings dashboard under Hybrid Work >> Seat Calendar.





If you face any issues using the seats command or the seat calendar, let us know by logging a ticket for us using the 'Dialm' command as a direct message in AttendanceBot & our support team will get back to you with a solution.

"
How does leave approval work in the AttendanceBot?,https://attendancebot.freshdesk.com/a/solutions/articles/17000131996,Slack,"Once your team has set up their managers, you could set up an approving hierarchy for the time-off requests by employees. Using AttendanceBot, you can set up 4 levels of approval hierarchy. Head on to the Approval Settings on your settings dashboard.





Here, you can enable the levels and select the appropriate approving manager for each level. It could either be the manager of the previous level or a specific person from the team. This makes your approving process seamless and easy to manage. 



Workflow



Whenever an employee creates a leave request, the request would be passed on to the approving manager's AttendanceBot on slack like this:





Next the manager can either deny or accept the leave request. If he denies the request a message would be sent to the employee saying that the leave has been denied. 



In case the leave request is approved, it would either go to the next approving manager(if any set by the admin) or a message would go to the employee that the leave has been approved. 







The employee also has the option of giving additional details while applying for a leave as comments. The manager also has the option of adding remarks/comments while approving or denying the request. 

"
How do I track my time in Slack?,https://attendancebot.freshdesk.com/a/solutions/articles/17000118256,Slack,"To record your punches for in and out, simply type the command ""in"" and ""out"" as a direct message (DM) to the AttendanceBot.



a) If you have project assigned to you, then AttendanceBot will give you the prompt to enter the details like Project name, client etc. You can select these from the drop down and hit ""confirm""



b) After the details have been entered and confirmed, you will receive a message like this :



c) For punching out, simply type in the command ""out"" into the AttendanceBot.





Summary:

You can look at your summary for the current day by typing ""timesheet"" and to generate the report, please type ""timesheet report"". You can check out this article explaining how can you do that





You can always get a quick reference to the time tracking features by typing help.



Note:

To track your time for a specific project or a client, just follow this article

"
How do I apply for lunch or break in Slack?,https://attendancebot.freshdesk.com/a/solutions/articles/17000063989,Slack,"Break-

To apply for a break in AttendanceBot, just type break for 10 mins or brb in 10 mins. You can set the duration as per your convenience.

Once you're break time is over, AttendanceBot will notify you, on Slack, asking you to punch back in.

You can either press the Yes button, if you are done with your break, or press the No, still on break button if you want to extend your break.

AttendanceBot will then ask you to provide a time by which you want to extend your break. You can type the duration and press enter to confirm your new break time.




Lunch-
To apply for a lunch, just type lunch to the app and you will receive a confirmation.
The lunch duration can be set from your Settings Panel. You can refer to this article for the process of setting up lunch hours.

Note: 

If you are back early from your break or lunch time, you can punch back in anytime(by typing in to the bot) and your lunch/break duration will be calculated accordingly."
How can I track the time spent on a project or a client?,https://attendancebot.freshdesk.com/a/solutions/articles/17000051253,Slack,"Punch in by selecting project or client. 

If you have been assigned a project or client, then whenever you are punching in, you will get an option to select the project or client from the drop down and hit confirm. 



It works just as a regular punch in and now you can select the project or client you are working from the dropdown menu. 



There are 3 ways you can track the work hours spend on projects or clients



1) Timesheet report - it will then reflect specific the project value in the report. 









2) Project report: You can track the client billables based on the hourly rate that you have added for a specific client and the total hours worked each day. 









3) Project Tracking: You can have an amazing infographic view of the projects or employee hours. Just open the dashboard and head to time tracking --> project tracking. 







You can view time spend on different projects by selecting them from the drop down menu.



If you want to check the work hours of employee on different projects, select ""Employee view"" and you can get a complete breakdown of the hours. 





Here is a quick video for your reference:



"
How do I edit or delete punch in/out time for employees?,https://attendancebot.freshdesk.com/a/solutions/articles/17000118260,Slack,"For editing an employee's punch in/out timings, you can follow these steps:



1. Simply head to the Edit Timesheet tab on the dashboard. Specify the date range, and select the employee name from the drop down and hit submit.





2. Pick the date you wish to make the edit, and click on the ""Expand"" option for the particular punch you want to update. Click on the pencil icon to edit the punches





3. Now update the punches here as per your requirements and hit ""save""







Note: Please note employees will be able to update the punches, only if the admin has enabled ""Allowed self editing of punches"" 





To delete the punches - You can delete the punches by clicking on the ""Delete"" icon next to the punch time



"
How can I edit my punch in/out time as an employee in Slack?,https://attendancebot.freshdesk.com/a/solutions/articles/17000121302,Slack,"If the admin has enabled the setting to edit punches by the team, you can edit it using the settings panel. 



1. Just type “edit punches” via DM to AttendanceBot and follow the URL prompted





2. Once you are on the dashboard, head to the ""Your Timesheet"" section —> select the date and click on the ""Expand” option.





3. Click on the pencil icon to edit the punches



4. Now update the punches here as per your requirements and hit ""save""









That’s it! You have edited your timesheet :)



Note: 

If you are the admin of the account and wish to edit the punches for your employee, click here for the steps. 

"
How do I get the summary or report of my time in office?,https://attendancebot.freshdesk.com/a/solutions/articles/17000118258,Slack,"For employees

To get the summary for today, type ""timesheet"" and you would get a punch logs for the current day. 



To get the a report of your time in office for the current and previous month say, ""timesheet report"" and you would get a CSV report that you can download a review.





You can generate a report for a specific time period by appending the date range to the report command. Example - ""Timesheet Report 1/3 to 2/10"".



Managers:

You can type in the command ""Report"" and select the report type as Timesheet Report/Timesheet Summary Report, select the relevant details and hit ""Confirm"".



You can download a CSV report with the timesheet data



Note:

To download a report for work hours for a specific project or a client, just follow this article

"
How do I generate payroll report in Slack?,https://attendancebot.freshdesk.com/a/solutions/articles/17000063992,Slack,"Managers can download the report by simply typing the command 'report' as a direct message to the app. 



1) Select the report type as ""Payroll Report"" or ""Payroll Summary Report"" from the drop down and add the relevant details like duration, employees and hit ""Confirm"".





2. Admins can also type 'payroll report', select the department and get a day by day hourly summary of everyone in the org along with their total hours in the payroll period. 













You can also provide an optional date range like 'payroll report from 1st Nov to 14th Nov' for specific duration 



3. The report would look something like this: 







We are also happy to customise your team's payroll report. Just type 'dialm' and get in touch with our customer success team.



Note:

To generate leave report for your team, you can follow this article

"
"Can AttendanceBot announce In/Out, breaks/lunch on Slack channel?",https://attendancebot.freshdesk.com/a/solutions/articles/17000049835,Slack,"Oh absolutely! Start by inviting AttendanceBot to a channel by /invite @attendancebot in that channel. 



1. To create announcements for all punches, just click on this link





Now, select the option of ""In/Out Notifications"" and hit ""save changes""





2. To notify people about their team status i.e if they are on break, having lunch, you can similarly set up punch card. You can announce punch card on the channel at a specific time of the day.





Note:

To setup different channel notifications in your Slack, follow this article"
Can I get an alert for every Punch In/Out of my reportee?,https://attendancebot.freshdesk.com/a/solutions/articles/17000049834,Slack,"Just open the AttendanceBot dashboard and head over the Notifications section -->Direct Notifications tab and click on Direct Notification Settings.



2. Enable the toggle for the ""Manager Notifications""







3. The alert would look something like this:



Note:

If you wish to announce the punches in the Slack channel, please follow this article. 

"
How do I view the punch card of my team,https://attendancebot.freshdesk.com/a/solutions/articles/17000052710,Slack,"Just type 'punch card' for a realtime view of your team's punch status. 





Alternatively, managers can head to AttendanceBot dashboard and check the Punch Board tab to check the working status of their employees.





Note:

You can also set up realtime alerts to yourself as a manager or to a specific channel for punches 

"
Can I get reminded to punch in or out if I forget to do so?,https://attendancebot.freshdesk.com/a/solutions/articles/17000049838,Slack,"You can setup punch reminders using AttendanceBot dashboard for your team



You can specify the time for both punch in and punch out reminder. This reminder would go to all members of the Slack team at their respective local time.



Here is what a punch in reminder looks like.





To enable the punch reminder

1) Head to Settings-> Basic Settings and scroll down to the Time Settings.



2) Switch the toggle from ""Inactive"" to ""Active""





3) Click on the edit icon and add the punch in/out time. 









Note:

You can also choose to automatically punch out people (as opposed to simply reminding them of it by enabling and setting an ""Auto Punch Out"" time). 



Here's an article explaining how you can setup auto-punch out for your team

"
Can I round my punch timings to the nearest 15 min?,https://attendancebot.freshdesk.com/a/solutions/articles/17000063991,Slack,"Surely, you can! Just head to your settings panel by typing 'settings' -->Time Tracking--> General Time Settings and find the ""Round to the nearest minute"" option and set it as per your requirement.









Once this is set, say to 15, any punch in or out time will be rounded to the nearest 15 min, so a punch in at 9:27 will become 9:30 and any punch out at 9:06 will become 9:00."
